0.5582701020063768,2021-07-22 00:49:59.473978,{'metrics_numOfLayers': 2, 'metrics_numOfOutput': 64, 'optimizer': 'adam', 'lrAdam': 1e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 71}
0.5552523452693514,2021-07-22 00:50:54.118761,{'metrics_numOfLayers': 2, 'metrics_numOfOutput': 106, 'optimizer': 'adam', 'lrAdam': 2.7691922460468362e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 16}
0.5580601168895818,2021-07-22 00:51:10.792544,{'metrics_numOfLayers': 1, 'metrics_numOfOutput': 70, 'optimizer': 'adam', 'lrAdam': 3.3050410096464663e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 397}
0.5588572418053576,2021-07-22 00:54:37.656100,{'metrics_numOfLayers': 3, 'metrics_numOfOutput': 105, 'optimizer': 'adam', 'lrAdam': 4.610036281167209e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 62}
0.5606367206767098,2021-07-22 00:55:21.505479,{'metrics_numOfLayers': 1, 'metrics_numOfOutput': 21, 'optimizer': 'adam', 'lrAdam': 4.805711538299466e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 489}
0.5551788423564761,2021-07-22 00:59:37.403794,{'metrics_numOfLayers': 1, 'metrics_numOfOutput': 88, 'optimizer': 'adam', 'lrAdam': 2.9715906110890037e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 322}
0.554808225944258,2021-07-22 01:02:28.504278,{'metrics_numOfLayers': 3, 'metrics_numOfOutput': 99, 'optimizer': 'adam', 'lrAdam': 3.5802484693257947e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 108}
0.5556722997651022,2021-07-22 01:03:37.294396,{'metrics_numOfLayers': 3, 'metrics_numOfOutput': 121, 'optimizer': 'adam', 'lrAdam': 1.1637540476068567e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 26}
0.5574362248251444,2021-07-22 01:04:00.927079,{'metrics_numOfLayers': 3, 'metrics_numOfOutput': 66, 'optimizer': 'adam', 'lrAdam': 1.1359417581221723e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 49}
0.5573148298982677,2021-07-22 01:04:39.409964,{'metrics_numOfLayers': 2, 'metrics_numOfOutput': 104, 'optimizer': 'adam', 'lrAdam': 7.718579855832725e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 6}
0.5633683487046899,2021-07-22 01:04:48.909781,{'metrics_numOfLayers': 3, 'metrics_numOfOutput': 36, 'optimizer': 'adam', 'lrAdam': 1.000145747581281e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 998}
0.557852969949594,2021-07-22 01:14:21.002240,{'metrics_numOfLayers': 1, 'metrics_numOfOutput': 88, 'optimizer': 'adam', 'lrAdam': 1.2174946277342559e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 886}
0.5586952499889719,2021-07-22 01:21:29.756229,{'metrics_numOfLayers': 1, 'metrics_numOfOutput': 128, 'optimizer': 'adam', 'lrAdam': 2.079246569988725e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 439}
0.5531312226972557,2021-07-22 01:25:01.253562,{'metrics_numOfLayers': 2, 'metrics_numOfOutput': 87, 'optimizer': 'adam', 'lrAdam': 2.1099974730459847e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 242}
