0.6850669763528648,2021-07-13 23:52:12.960520,{'astseq_numOfLayers': 2, 'astseq_hiddenSize': 1000, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 2, 'commitseq_hiddenSize': 1000, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 49, 'optimizer': 'adam', 'lrAdam': 1e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 3}
0.6817127657502552,2021-07-14 00:05:12.377741,{'astseq_numOfLayers': 2, 'astseq_hiddenSize': 546, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 2, 'commitseq_hiddenSize': 547, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 2, 'metrics_numOfOutput': 29, 'optimizer': 'adam', 'lrAdam': 4.165777185201966e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 1}
0.6318044329698363,2021-07-14 00:12:35.013343,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 399, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 22, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 2, 'metrics_numOfOutput': 74, 'optimizer': 'adam', 'lrAdam': 2.4043116275652447e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 11}
0.659477738465564,2021-07-14 00:20:44.979337,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 348, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 109, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 1, 'metrics_numOfOutput': 120, 'optimizer': 'adam', 'lrAdam': 2.2407918137323006e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 12}
0.6782571395976378,2021-07-14 00:26:08.824064,{'astseq_numOfLayers': 2, 'astseq_hiddenSize': 286, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 641, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 2, 'metrics_numOfOutput': 33, 'optimizer': 'adam', 'lrAdam': 1.2025307775526801e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 5}
0.7744825884038572,2021-07-14 00:33:20.606454,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 767, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 2, 'commitseq_hiddenSize': 679, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 19, 'optimizer': 'adam', 'lrAdam': 0.00010970058361709776, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 1}
0.8639011715218748,2021-07-14 00:38:58.119249,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 132, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 835, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 1, 'metrics_numOfOutput': 63, 'optimizer': 'adam', 'lrAdam': 0.0006621487568728994, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 1}
0.6777249703835407,2021-07-14 00:42:30.639216,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 775, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 2, 'commitseq_hiddenSize': 670, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 112, 'optimizer': 'adam', 'lrAdam': 1.3352562500628985e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 4}
0.9906284575368843,2021-07-14 00:49:43.621564,{'astseq_numOfLayers': 2, 'astseq_hiddenSize': 502, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 2, 'commitseq_hiddenSize': 294, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 19, 'optimizer': 'adam', 'lrAdam': 0.0006235307486281209, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 1}
0.7591460312114041,2021-07-14 00:56:00.321496,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 870, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 2, 'commitseq_hiddenSize': 588, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 2, 'metrics_numOfOutput': 40, 'optimizer': 'adam', 'lrAdam': 0.00013350437724921258, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 1}
0.6409856157898289,2021-07-14 01:01:55.158066,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 116, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 15, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 1, 'metrics_numOfOutput': 88, 'optimizer': 'adam', 'lrAdam': 1.726519779592073e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 197}
